,lat,lon,mean
397,4699940,383370,0.31318190710735094
398,4699940,383380,0.31692718380615315
399,4699940,383390,0.31070317396620656
400,4699940,383400,0.32697542712492267
401,4699940,383410,0.3307287654600458
402,4699940,383420,0.3252304770722189
403,4699940,383430,0.3314524723116082
404,4699940,383440,0.36247469778919805
405,4699940,383450,0.35836865342676893
406,4699940,383460,0.35442003457796584
407,4699940,383470,0.36423702470916236
408,4699940,383480,0.3750038610658962
409,4699940,383490,0.38241667405942714
410,4699940,383500,0.3793232080896454
411,4699940,383510,0.35032796689515916
412,4699940,383520,0.3176204233810548
413,4699940,383530,0.30131323640128366
414,4699940,383540,0.3108151555706777
415,4699940,383550,0.32075765104384796
416,4699940,383560,0.3218620434355914
417,4699940,383570,0.31680862006732347
418,4699940,383580,0.3330144031433761
419,4699940,383590,0.32352634043453027
420,4699940,383600,0.3186684587172684
421,4699940,383610,0.34358787634789023
422,4699940,383620,0.35492757837647776
423,4699940,383630,0.35166470524184223
424,4699940,383640,0.3548229468724012
425,4699940,383650,0.35945573413632853
426,4699940,383660,0.30011508790622643
427,4699940,383670,0.21382553935802368
428,4699940,383680,
429,4699940,383690,
430,4699940,383700,
431,4699940,383710,0.2875797330669078
432,4699940,383720,0.2513191574331033
433,4699940,383730,0.2130190213696845
434,4699940,383740,
435,4699940,383750,
436,4699940,383760,
437,4699940,383770,
438,4699940,383780,
439,4699940,383790,
440,4699940,383800,
441,4699940,383810,
442,4699940,383820,
443,4699940,383830,
444,4699940,383840,
445,4699940,383850,
446,4699940,383860,0.2687619498903032
447,4699940,383870,
448,4699940,383880,
449,4699940,383890,
450,4699940,383900,
451,4699940,383910,
452,4699940,383920,
453,4699940,383930,
454,4699940,383940,
455,4699940,383950,
456,4699940,383960,0.24400589983070764
457,4699940,383970,0.21000035829292293
458,4699940,383980,0.24553418065884502
459,4699940,383990,0.28663786351785103
460,4699940,384000,0.3201204575258586
461,4699940,384010,
462,4699940,384020,
463,4699940,384030,
464,4699940,384040,
465,4699940,384050,0.33693170368676806
466,4699940,384060,0.3526169399854038
467,4699940,384070,0.359373500064364
468,4699940,384080,0.3577308765135209
469,4699940,384090,0.3473311123798197
470,4699940,384100,0.3428015819720472
471,4699940,384110,0.34957691293962995
472,4699940,384120,0.3512391451049361
473,4699940,384130,0.34322600484686455
474,4699940,384140,0.3407904832389365
475,4699940,384150,0.3363355676908878
476,4699940,384160,0.3438500221633932
477,4699940,384170,0.3477055177275475
478,4699940,384180,0.3605439075713634
479,4699940,384190,0.37235470686204897
480,4699940,384200,0.3569995643569334
481,4699940,384210,0.3541966794057051
482,4699940,384220,0.36038680937201456
483,4699940,384230,0.3569076425691521
484,4699940,384240,0.35978150041310303
485,4699940,384250,0.3621638452062788
486,4699940,384260,0.3608701809200721
487,4699940,384270,0.3661544723352016
488,4699940,384280,0.3662575081880868
489,4699940,384290,0.35435910992308034
490,4699940,384300,0.36345809709277865
491,4699940,384310,0.3708325348222217
492,4699940,384320,0.35088713583807946
493,4699940,384330,0.33452028435578135
494,4699940,384340,0.34788475567370963
495,4699940,384350,0.3552735378620856
496,4699940,384360,0.34802367910962334
497,4699940,384370,0.35152333616704295
498,4699940,384380,0.356692339608451
499,4699940,384390,0.3577368876417864
500,4699940,384400,0.3557617209537772
501,4699940,384410,0.3532534639536541
502,4699940,384420,0.3466237897140585
503,4699940,384430,0.3467627442628364
504,4699940,384440,0.3444037078922384
505,4699940,384450,0.33403135129749195
506,4699940,384460,0.3257650337742267
507,4699940,384470,0.3433198506965666
508,4699940,384480,0.35844083379078895
509,4699940,384490,0.3570408144357327
510,4699950,382800,
511,4699950,382810,
512,4699950,382820,
513,4699950,382830,
514,4699950,382840,
515,4699950,382850,
516,4699950,382860,
517,4699950,382870,
518,4699950,382880,
519,4699950,382890,
520,4699950,382900,
521,4699950,382910,
522,4699950,382920,
523,4699950,382930,
524,4699950,382940,
525,4699950,382950,
526,4699950,382960,
527,4699950,382970,
528,4699950,382980,
529,4699950,382990,
530,4699950,383000,0.27567262350298666
531,4699950,383010,0.2970809036313319
532,4699950,383020,0.3025328845868431
533,4699950,383030,0.31071207267433265
534,4699950,383040,0.3246971341635981
535,4699950,383050,0.3240566420316284
536,4699950,383060,0.31344271440399335
537,4699950,383070,0.31686139046979583
538,4699950,383080,0.34709065812563406
539,4699950,383090,0.3701787772624158
540,4699950,383100,0.373885478717366
541,4699950,383110,0.3694153940336824
542,4699950,383120,0.3528014533534368
543,4699950,383130,0.3475970307108519
544,4699950,383140,0.34337653366605475
545,4699950,383150,0.3493825427638496
546,4699950,383160,0.3736535229042783
547,4699950,383170,0.3679325472219066
548,4699950,383180,0.3394076676364277
549,4699950,383190,0.33524066792690665
550,4699950,383200,0.34984411871818727
551,4699950,383210,0.372853152320872
552,4699950,383220,0.37170095372388395
553,4699950,383230,0.35808823206373813
554,4699950,383240,0.3289059249310151
555,4699950,383250,0.3239385642634304
556,4699950,383260,0.31887290459568446
557,4699950,383270,0.3092695357611971
558,4699950,383280,
559,4699950,383290,
560,4699950,383300,
561,4699950,383310,0.3168963218354123
562,4699950,383320,0.3008867851822151
563,4699950,383330,0.2857996453281876
564,4699950,383340,0.2821501592373352
565,4699950,383350,0.2858552742281451
566,4699950,383360,0.29331316637754523
567,4699950,383370,0.29945964236304823
568,4699950,383380,0.3057931092600515
569,4699950,383390,0.2820152071982677
570,4699950,383400,0.29995043678834693
571,4699950,383410,0.3455243522170379
572,4699950,383420,0.3467032093106205
573,4699950,383430,0.32965649159799776
574,4699950,383440,0.3619599411590915
575,4699950,383450,0.36612996293702077
